
*****     Ratio of extracted neutron structure function F2n to deuteron structure function F2d for 4 GeV beam energy  (see Fig. 17 top)     ******								
								
W*2	Q2	x*	F2n/F2d	stat.	syst.			
4.04	0.842	0.21	0.436	0.026	0.003			
4.122	0.842	0.205	0.438	0.026	0.003			
4.202	0.842	0.202	0.379	0.025	0.002			
4.285	0.842	0.198	0.42	0.026	0.003			
4.369	0.842	0.193	0.478	0.027	0.003			
4.453	0.843	0.19	0.451	0.026	0.003			
4.538	0.842	0.187	0.404	0.025	0.002			
4.623	0.843	0.183	0.414	0.026	0.002			
4.707	0.843	0.18	0.443	0.027	0.003			
4.798	0.843	0.177	0.474	0.027	0.003			
4.886	0.843	0.174	0.428	0.026	0.002			
4.973	0.842	0.17	0.441	0.027	0.002			
5.064	0.842	0.167	0.446	0.027	0.002			
1.234	1.007	0.734	0.171	0.032	0.014			
1.276	1.007	0.71	0.283	0.045	0.021			
1.324	1.006	0.687	0.526	0.052	0.035			
1.369	1.006	0.668	0.64	0.052	0.038			
1.417	1.006	0.645	0.728	0.05	0.039			
1.464	1.005	0.628	0.716	0.045	0.035			
1.513	1.006	0.609	0.762	0.044	0.034			
1.562	1.006	0.591	0.58	0.038	0.024			
1.612	1.006	0.575	0.539	0.036	0.021			
1.662	1.006	0.558	0.452	0.033	0.016			
1.715	1.007	0.543	0.466	0.035	0.015			
1.77	1.006	0.527	0.44	0.034	0.013			
1.821	1.006	0.513	0.405	0.034	0.012			
1.877	1.006	0.498	0.404	0.034	0.011			
1.932	1.006	0.485	0.437	0.035	0.011			
1.991	1.006	0.47	0.348	0.032	0.008			
2.048	1.005	0.459	0.401	0.032	0.009			
2.101	1.005	0.447	0.36	0.031	0.008			
2.162	1.005	0.436	0.426	0.032	0.008			
2.221	1.004	0.425	0.432	0.031	0.008			
2.279	1.003	0.415	0.412	0.029	0.007			
2.341	1.003	0.406	0.431	0.029	0.007			
2.402	1.002	0.395	0.468	0.029	0.008			
2.467	1.003	0.386	0.361	0.027	0.006			
2.527	1.003	0.377	0.433	0.029	0.006			
2.592	1.003	0.368	0.423	0.028	0.006			
2.657	1.003	0.36	0.419	0.028	0.006			
2.724	1.004	0.351	0.481	0.029	0.006			
2.789	1.003	0.344	0.395	0.027	0.005			
2.857	1.004	0.336	0.444	0.028	0.005			
2.925	1.005	0.327	0.425	0.027	0.005			
2.991	1.006	0.322	0.372	0.025	0.004			
3.063	1.006	0.315	0.392	0.026	0.004			
3.134	1.006	0.307	0.373	0.025	0.004			
3.204	1.007	0.301	0.4	0.026	0.004			
3.277	1.007	0.294	0.312	0.023	0.003			
3.35	1.007	0.289	0.412	0.026	0.004			
3.422	1.007	0.283	0.38	0.025	0.004			
3.497	1.007	0.276	0.378	0.025	0.003			
3.572	1.007	0.271	0.411	0.026	0.004			
3.647	1.007	0.266	0.438	0.026	0.004			
3.725	1.007	0.26	0.466	0.027	0.004			
3.804	1.006	0.255	0.467	0.027	0.004			
3.88	1.005	0.249	0.431	0.026	0.003			
3.963	1.005	0.244	0.395	0.026	0.003			
4.039	1.004	0.24	0.408	0.026	0.003			
4.122	1.004	0.236	0.482	0.028	0.004			
4.201	1.003	0.231	0.377	0.025	0.003			
4.285	1.003	0.227	0.431	0.027	0.003			
4.364	1.003	0.223	0.42	0.027	0.003			
4.452	1.003	0.219	0.457	0.028	0.003			
4.536	1.004	0.215	0.438	0.027	0.003			
4.623	1.004	0.212	0.43	0.027	0.003			
4.709	1.005	0.208	0.424	0.027	0.003			
4.798	1.006	0.204	0.454	0.027	0.003			
1.237	1.198	0.765	0.15	0.032	0.014			
1.279	1.199	0.745	0.384	0.054	0.034			
1.323	1.199	0.724	0.361	0.053	0.028			
1.371	1.198	0.704	0.568	0.058	0.041			
1.417	1.198	0.686	0.73	0.06	0.048			
1.464	1.198	0.668	0.663	0.052	0.04			
1.514	1.198	0.651	0.597	0.046	0.033			
1.563	1.199	0.633	0.665	0.047	0.034			
1.613	1.199	0.616	0.475	0.04	0.022			
1.662	1.2	0.601	0.412	0.037	0.018			
1.717	1.2	0.585	0.444	0.039	0.018			
1.769	1.2	0.57	0.395	0.038	0.015			
1.821	1.2	0.556	0.383	0.037	0.013			
1.877	1.2	0.542	0.435	0.039	0.014			
1.93	1.199	0.528	0.42	0.037	0.013			
1.988	1.199	0.517	0.447	0.038	0.013			
2.045	1.199	0.505	0.457	0.037	0.013			
2.102	1.198	0.491	0.412	0.035	0.011			
2.162	1.198	0.48	0.393	0.034	0.01			
2.219	1.198	0.47	0.445	0.034	0.01			
2.281	1.198	0.458	0.462	0.034	0.01			
2.343	1.197	0.448	0.426	0.032	0.009			
2.402	1.197	0.439	0.418	0.031	0.008			
2.466	1.198	0.429	0.409	0.03	0.008			
2.527	1.198	0.418	0.422	0.031	0.008			
2.594	1.198	0.409	0.366	0.03	0.006			
2.658	1.198	0.4	0.422	0.03	0.007			
2.723	1.198	0.392	0.409	0.03	0.007			
2.787	1.198	0.384	0.42	0.03	0.006			
2.858	1.199	0.376	0.427	0.031	0.006			
2.924	1.198	0.368	0.443	0.03	0.006			
2.993	1.199	0.36	0.414	0.029	0.006			
3.064	1.198	0.353	0.392	0.028	0.005			
3.132	1.198	0.347	0.396	0.028	0.005			
3.201	1.198	0.338	0.395	0.028	0.005			
3.276	1.198	0.331	0.425	0.029	0.005			
3.348	1.198	0.325	0.455	0.03	0.005			
3.424	1.198	0.319	0.423	0.029	0.005			
3.497	1.198	0.312	0.384	0.028	0.004			
3.571	1.197	0.307	0.445	0.03	0.005			
3.649	1.197	0.301	0.449	0.03	0.005			
3.725	1.198	0.295	0.486	0.031	0.005			
3.802	1.198	0.29	0.442	0.03	0.004			
3.88	1.199	0.285	0.46	0.03	0.004			
3.959	1.2	0.28	0.423	0.029	0.004			
4.042	1.201	0.275	0.39	0.027	0.004			
4.122	1.202	0.27	0.434	0.029	0.004			
4.202	1.203	0.265	0.392	0.027	0.003			
4.284	1.203	0.261	0.428	0.027	0.004			
4.368	1.202	0.255	0.441	0.028	0.004			
4.454	1.203	0.251	0.422	0.027	0.003			
4.537	1.203	0.247	0.407	0.026	0.003			
1.238	1.425	0.796	0.131	0.035	0.015			
1.279	1.424	0.776	0.372	0.06	0.038			
1.324	1.424	0.759	0.389	0.064	0.036			
1.37	1.423	0.739	0.539	0.067	0.045			
1.417	1.423	0.722	0.781	0.07	0.061			
1.464	1.423	0.703	0.676	0.063	0.049			
1.514	1.422	0.688	0.623	0.056	0.041			
1.562	1.423	0.672	0.556	0.051	0.034			
1.61	1.423	0.656	0.502	0.047	0.028			
1.666	1.425	0.641	0.458	0.045	0.024			
1.716	1.424	0.626	0.536	0.048	0.026			
1.769	1.423	0.612	0.414	0.044	0.019			
1.822	1.424	0.597	0.414	0.044	0.018			
1.878	1.424	0.584	0.394	0.042	0.016			
1.935	1.424	0.572	0.393	0.042	0.015			
1.99	1.424	0.558	0.369	0.04	0.013			
2.043	1.424	0.548	0.375	0.04	0.013			
2.103	1.424	0.535	0.41	0.04	0.013			
2.16	1.424	0.524	0.414	0.04	0.012			
2.222	1.424	0.513	0.453	0.04	0.013			
2.28	1.425	0.502	0.489	0.04	0.013			
2.34	1.425	0.491	0.463	0.038	0.012			
2.401	1.426	0.481	0.436	0.037	0.011			
2.462	1.425	0.473	0.451	0.037	0.011			
2.526	1.425	0.462	0.403	0.035	0.009			
2.592	1.425	0.452	0.365	0.033	0.008			
2.656	1.425	0.443	0.381	0.034	0.008			
2.723	1.425	0.434	0.409	0.034	0.008			
2.788	1.424	0.426	0.435	0.035	0.008			
2.857	1.425	0.416	0.394	0.034	0.007			
2.924	1.425	0.409	0.419	0.034	0.007			
2.995	1.426	0.402	0.358	0.031	0.006			
3.065	1.426	0.394	0.405	0.032	0.007			
3.134	1.425	0.386	0.364	0.03	0.006			
3.205	1.427	0.38	0.364	0.03	0.005			
3.275	1.426	0.373	0.357	0.03	0.005			
3.349	1.428	0.366	0.383	0.03	0.005			
3.423	1.43	0.358	0.351	0.029	0.005			
3.497	1.429	0.352	0.405	0.03	0.005			
3.569	1.43	0.346	0.412	0.03	0.005			
3.65	1.43	0.34	0.394	0.029	0.005			
3.725	1.43	0.332	0.386	0.029	0.005			
3.801	1.429	0.326	0.413	0.03	0.005			
3.882	1.428	0.321	0.421	0.03	0.005			
3.958	1.428	0.315	0.419	0.029	0.005			
4.041	1.428	0.311	0.433	0.03	0.005			
4.121	1.428	0.305	0.464	0.03	0.005			
4.202	1.428	0.299	0.358	0.027	0.004			
1.232	1.699	0.822	0.152	0.041	0.019			
1.277	1.696	0.805	0.315	0.066	0.037			
1.325	1.697	0.786	0.398	0.074	0.042			
1.371	1.696	0.769	0.509	0.078	0.05			
1.418	1.694	0.754	0.545	0.078	0.05			
1.464	1.695	0.74	0.799	0.083	0.068			
1.512	1.695	0.724	0.58	0.069	0.046			
1.562	1.695	0.71	0.485	0.06	0.035			
1.613	1.696	0.695	0.536	0.062	0.037			
1.665	1.695	0.679	0.422	0.054	0.027			
1.718	1.698	0.665	0.412	0.053	0.024			
1.766	1.697	0.653	0.392	0.053	0.022			
1.823	1.697	0.638	0.375	0.051	0.02			
1.877	1.699	0.628	0.388	0.05	0.019			
1.935	1.698	0.612	0.357	0.049	0.017			
1.985	1.7	0.604	0.419	0.051	0.019			
2.046	1.7	0.59	0.446	0.049	0.019			
2.105	1.701	0.581	0.293	0.043	0.012			
2.161	1.702	0.568	0.346	0.043	0.013			
2.219	1.703	0.555	0.45	0.047	0.016			
2.28	1.703	0.546	0.456	0.046	0.015			
2.342	1.703	0.535	0.414	0.042	0.013			
2.401	1.704	0.527	0.39	0.04	0.012			
2.464	1.704	0.517	0.386	0.04	0.011			
2.527	1.705	0.507	0.395	0.04	0.011			
2.591	1.705	0.497	0.387	0.039	0.01			
2.656	1.704	0.486	0.375	0.037	0.01			
2.721	1.704	0.478	0.351	0.036	0.009			
2.788	1.704	0.47	0.439	0.038	0.01			
2.855	1.704	0.46	0.456	0.039	0.01			
2.924	1.704	0.452	0.425	0.037	0.009			
2.992	1.702	0.444	0.384	0.034	0.008			
3.064	1.704	0.436	0.418	0.035	0.008			
3.131	1.704	0.429	0.385	0.033	0.007			
3.205	1.704	0.421	0.335	0.031	0.006			
3.277	1.703	0.413	0.356	0.032	0.006			
3.347	1.704	0.406	0.396	0.033	0.007			
3.424	1.704	0.401	0.345	0.031	0.006			
3.497	1.703	0.392	0.386	0.032	0.006			
3.571	1.704	0.385	0.397	0.033	0.006			
3.65	1.704	0.379	0.398	0.032	0.006			
3.723	1.702	0.372	0.396	0.032	0.006			
3.801	1.701	0.368	0.461	0.035	0.007			
1.232	2.03	0.847	0.105	0.048	0.015			
1.28	2.035	0.831	0.189	0.071	0.025			
1.325	2.034	0.816	0.308	0.089	0.038			
1.369	2.035	0.801	0.511	0.102	0.059			
1.419	2.032	0.789	0.628	0.107	0.068			
1.468	2.03	0.771	0.541	0.089	0.054			
1.513	2.032	0.759	0.669	0.094	0.063			
1.564	2.034	0.745	0.618	0.084	0.054			
1.613	2.031	0.73	0.619	0.083	0.05			
1.663	2.032	0.721	0.448	0.07	0.035			
1.717	2.031	0.706	0.361	0.06	0.026			
1.769	2.03	0.693	0.385	0.063	0.026			
1.823	2.032	0.678	0.299	0.056	0.019			
1.875	2.032	0.668	0.296	0.055	0.018			
1.932	2.03	0.654	0.341	0.056	0.019			
1.991	2.035	0.642	0.296	0.054	0.016			
2.045	2.031	0.633	0.358	0.057	0.018			
2.105	2.03	0.622	0.427	0.059	0.021			
2.162	2.031	0.611	0.357	0.054	0.016			
2.219	2.032	0.6	0.49	0.058	0.022			
2.278	2.032	0.589	0.392	0.053	0.016			
2.339	2.033	0.58	0.48	0.054	0.019			
2.401	2.034	0.57	0.388	0.05	0.015			
2.465	2.034	0.559	0.412	0.05	0.015			
2.527	2.031	0.548	0.424	0.05	0.014			
2.593	2.034	0.539	0.404	0.048	0.013			
2.661	2.033	0.53	0.311	0.042	0.01			
2.722	2.033	0.522	0.439	0.047	0.013			
2.788	2.031	0.513	0.476	0.048	0.014			
2.854	2.03	0.506	0.403	0.045	0.011			
2.925	2.03	0.494	0.461	0.046	0.012			
2.99	2.03	0.487	0.397	0.043	0.01			
3.062	2.03	0.479	0.318	0.039	0.008			
3.134	2.031	0.472	0.368	0.041	0.009			
3.204	2.029	0.465	0.413	0.042	0.01			
3.28	2.031	0.456	0.409	0.042	0.009			
3.349	2.03	0.449	0.396	0.041	0.008			
1.229	2.42	0.867	0.095	0.052	0.015			
1.269	2.421	0.86	0.073	0.082	0.011			
1.327	2.42	0.84	0.426	0.124	0.06			
1.367	2.417	0.829	0.586	0.14	0.076			
1.419	2.417	0.814	0.58	0.129	0.07			
1.462	2.414	0.801	0.858	0.148	0.098			
1.51	2.419	0.79	0.566	0.115	0.061			
1.562	2.417	0.778	0.584	0.108	0.06			
1.614	2.42	0.76	0.587	0.103	0.055			
1.669	2.416	0.75	0.352	0.084	0.032			
1.718	2.415	0.739	0.424	0.086	0.036			
1.771	2.418	0.727	0.47	0.089	0.037			
1.826	2.416	0.715	0.35	0.075	0.027			
1.869	2.419	0.703	0.24	0.065	0.017			
1.935	2.419	0.692	0.296	0.072	0.02			
1.991	2.416	0.681	0.373	0.076	0.024			
2.044	2.42	0.673	0.343	0.071	0.021			
2.099	2.419	0.663	0.43	0.075	0.025			
2.156	2.421	0.653	0.355	0.07	0.02			
2.218	2.42	0.642	0.371	0.068	0.02			
2.283	2.418	0.631	0.507	0.076	0.026			
2.342	2.419	0.621	0.343	0.063	0.017			
2.397	2.419	0.613	0.337	0.061	0.015			
2.463	2.418	0.6	0.296	0.056	0.013			
2.523	2.42	0.593	0.287	0.056	0.012			
2.59	2.418	0.585	0.371	0.061	0.015			
2.655	2.417	0.575	0.493	0.067	0.019			
2.721	2.415	0.566	0.41	0.062	0.015			
2.787	2.412	0.554	0.456	0.064	0.016			
1.232	2.877	0.887	0.305	0.113	0.053			
1.271	2.875	0.872	0.305	0.142	0.049			
1.318	2.875	0.862	0.406	0.168	0.062			
1.367	2.88	0.851	0.788	0.212	0.115			
1.421	2.875	0.838	0.458	0.175	0.063			
1.463	2.87	0.824	0.402	0.16	0.053			
1.518	2.873	0.815	0.537	0.16	0.066			
1.565	2.87	0.802	0.508	0.146	0.059			
1.616	2.867	0.79	0.65	0.15	0.071			
1.67	2.873	0.778	0.248	0.097	0.025			
1.724	2.863	0.767	0.263	0.104	0.026			
1.776	2.874	0.759	0.248	0.1	0.023			
1.823	2.867	0.752	0.342	0.116	0.031			
1.877	2.874	0.742	0.355	0.117	0.031			
1.937	2.87	0.725	0.392	0.114	0.031			
1.996	2.864	0.715	0.437	0.116	0.033			
2.046	2.87	0.703	0.378	0.107	0.027			
2.093	2.863	0.701	0.241	0.094	0.017			
1.238	3.418	0.896	0.11	0.089	0.02			
1.333	3.414	0.877	0.082	0.064	0.014			
								
								
*****     Ratio of extracted neutron structure function F2n to deuteron structure function F2d for 5 GeV beam energy  (see Fig. 17 bottom)     ******								
								
W*2	Q2	x*	F2n/F2d	stat.	syst.			
7.016	0.602	0.09	0.231	0.31	0.001			
7.33	0.603	0.086	7.937	6.466	0.026			
5.243	0.732	0.147	0.376	0.205	0.002			
5.334	0.736	0.146	0.1	0.171	0.001			
5.441	0.737	0.142	0.21	0.147	0.001			
5.52	0.741	0.139	0.42	0.165	0.002			
5.615	0.743	0.135	0.238	0.12	0.001			
5.712	0.742	0.134	0.312	0.119	0.001			
5.795	0.743	0.132	0.329	0.111	0.001			
6.001	0.745	0.127	16.799	9.646	0.068			
6.085	0.744	0.125	10.484	9.863	0.042			
6.203	0.744	0.123	15.6	5.652	0.062			
6.316	0.745	0.12	14.573	7.661	0.057			
6.403	0.745	0.119	0.194	0.073	0.001			
6.496	0.744	0.116	13.747	4.659	0.053			
6.609	0.744	0.114	14.224	2.991	0.054			
6.696	0.743	0.113	13.674	3.262	0.052			
6.81	0.742	0.11	0.24	0.056	0.001			
6.92	0.741	0.108	12.467	2.233	0.046			
7.033	0.74	0.106	11.443	2.096	0.042			
7.126	0.739	0.105	0.332	0.049	0.001			
7.237	0.737	0.103	6.444	1.078	0.023			
3	0.887	0.298	1.007	0.538	0.009			
3.062	0.892	0.293	0.541	0.31	0.005			
3.134	0.896	0.287	1.017	0.426	0.009			
3.277	0.892	0.27	0.472	0.242	0.004			
3.344	0.896	0.264	0.075	0.14	0.001			
3.428	0.897	0.26	0.223	0.128	0.002			
3.494	0.897	0.251	0.462	0.166	0.003			
3.579	0.895	0.248	0.667	0.171	0.005			
3.645	0.895	0.245	0.374	0.112	0.003			
3.722	0.894	0.238	0.503	0.126	0.003			
3.799	0.894	0.234	0.493	0.113	0.003			
3.889	0.894	0.228	0.456	0.099	0.003			
3.955	0.893	0.224	0.422	0.084	0.003			
4.039	0.893	0.221	0.486	0.086	0.003			
4.127	0.893	0.214	0.466	0.075	0.003			
4.207	0.892	0.211	0.428	0.067	0.003			
4.284	0.892	0.206	0.382	0.061	0.002			
4.371	0.891	0.202	0.438	0.059	0.003			
4.451	0.89	0.199	0.434	0.056	0.002			
4.538	0.889	0.193	0.422	0.05	0.002			
4.623	0.888	0.19	0.477	0.049	0.003			
4.709	0.887	0.187	0.395	0.044	0.002			
4.792	0.885	0.183	0.462	0.043	0.002			
4.882	0.883	0.18	0.495	0.042	0.003			
4.976	0.881	0.175	0.416	0.037	0.002			
5.063	0.88	0.173	0.447	0.036	0.002			
5.155	0.879	0.169	0.389	0.032	0.002			
5.244	0.877	0.166	0.455	0.032	0.002			
5.339	0.876	0.163	0.405	0.03	0.002			
5.428	0.874	0.16	0.417	0.029	0.002			
5.521	0.873	0.157	0.427	0.028	0.002			
5.614	0.871	0.154	0.402	0.026	0.002			
5.711	0.869	0.151	0.466	0.026	0.002			
5.805	0.868	0.148	0.395	0.023	0.002			
5.906	0.866	0.146	0.439	0.024	0.002			
6.004	0.864	0.143	0.4	0.023	0.002			
6.125	0.861	0.14	0.455	0.033	0.002			
6.215	0.859	0.137	14.028	5.032	0.06			
6.302	0.857	0.135	14.498	2.392	0.061			
6.395	0.855	0.133	12.832	1.937	0.054			
6.503	0.854	0.131	12.141	1.659	0.05			
6.607	0.853	0.129	11.789	1.287	0.048			
6.706	0.852	0.127	10.069	1.48	0.041			
6.807	0.852	0.125	11.727	1.948	0.047			
6.917	0.85	0.123	0.057	0.01	0.045			
7.029	0.85	0.12	10.213	1.234	0.04			
7.132	0.849	0.119	4.943	0.737	0.019			
1.23	1.076	0.747	0.333	0.205	0.025			
1.277	1.077	0.722	0.289	0.162	0.02			
1.322	1.075	0.704	0.462	0.211	0.03			
1.371	1.075	0.681	0.483	0.203	0.028			
1.418	1.076	0.659	0.631	0.186	0.033			
1.462	1.075	0.644	0.609	0.142	0.029			
1.516	1.074	0.623	0.586	0.136	0.026			
1.565	1.074	0.606	0.726	0.139	0.029			
1.613	1.072	0.589	0.302	0.088	0.011			
1.665	1.072	0.575	0.328	0.088	0.011			
1.713	1.071	0.557	0.377	0.089	0.012			
1.764	1.07	0.541	0.373	0.087	0.011			
1.819	1.069	0.53	0.476	0.091	0.013			
1.877	1.067	0.514	0.393	0.079	0.01			
1.934	1.067	0.499	0.412	0.079	0.01			
1.985	1.067	0.488	0.289	0.066	0.007			
2.042	1.065	0.475	0.34	0.065	0.007			
2.102	1.064	0.463	0.377	0.062	0.008			
2.162	1.063	0.45	0.417	0.063	0.008			
2.22	1.061	0.439	0.44	0.058	0.008			
2.278	1.06	0.429	0.497	0.056	0.009			
2.344	1.059	0.415	0.343	0.048	0.006			
2.403	1.058	0.408	0.449	0.049	0.007			
2.466	1.056	0.395	0.371	0.044	0.005			
2.527	1.055	0.387	0.298	0.039	0.004			
2.592	1.054	0.379	0.362	0.041	0.005			
2.655	1.053	0.369	0.475	0.043	0.006			
2.722	1.051	0.36	0.39	0.038	0.005			
2.787	1.05	0.352	0.437	0.038	0.005			
2.856	1.049	0.344	0.428	0.036	0.005			
2.924	1.047	0.337	0.458	0.035	0.005			
2.993	1.046	0.329	0.422	0.033	0.005			
3.064	1.045	0.322	0.379	0.03	0.004			
3.134	1.044	0.314	0.377	0.029	0.004			
3.202	1.042	0.307	0.362	0.027	0.003			
3.277	1.041	0.301	0.443	0.029	0.004			
3.349	1.039	0.294	0.424	0.028	0.004			
3.423	1.038	0.288	0.432	0.027	0.004			
3.497	1.036	0.282	0.385	0.025	0.003			
3.571	1.035	0.275	0.4	0.025	0.003			
3.648	1.033	0.271	0.446	0.026	0.004			
3.725	1.032	0.264	0.437	0.025	0.003			
3.803	1.031	0.258	0.394	0.023	0.003			
3.88	1.029	0.254	0.408	0.023	0.003			
3.961	1.027	0.248	0.432	0.023	0.003			
4.04	1.026	0.243	0.391	0.022	0.003			
